,0,1
1314,swallow,2
1315,crosswise,1
1316,stop,2
1317,tightened,2
1318,free,4
1319,next,9
1320,coil,2
1321,using,1
1322,goes,5
1323,gained,4
1324,alternately,1
1325,cord,8
1326,pivoted,2
1327,happened,3
1328,moved,14
1329,raise,2
1330,inch,2
1331,beads,1
1332,slow,4
1333,bracing,2
1334,move,4
1335,north-west,2
1336,travelled,1
1337,calm,10
1338,wish,22
1339,being,6
1340,towed,1
1341,towing,3
1342,bitt,5
1343,travelling,1
1344,decides,2
1345,sounds,1
1346,dies,2
1347,plenty,4
1348,slant,6
1349,kill,22
1350,forever,5
1351,swimming,8
1352,braced,5
1353,solidly,2
1354,noon,4
1355,pushed,6
1356,straw,2
1357,hat,2
1358,forehead,2
1359,thirsty,1
1360,jerk,5
1361,rested,10
1362,un-stepped,1
1363,tried,13
1364,endure,3
1365,visible,1
1366,glow,7
1367,sunrise,2
1368,cramps,3
1369,tight,9
1370,changed,3
1371,direction,1
1372,stars,9
1373,dried,3
1374,legs,7
1375,during,2
1376,sack,5
1377,dry,4
1378,cautiously,1
1379,cushioned,1
1380,comfortable,4
1381,position,1
1382,actually,1
1383,somewhat,1
1384,less,3
1385,intolerable,1
1386,keeps,3
1387,stood,3
1388,checked,2
1389,phosphorescent,2
1390,streak,1
1391,eastward,4
1392,grand,1
1393,wonderful,3
1394,radio,2
1395,doing,3
1396,unavoidable,1
1397,spoils,1
1398,matter,5
1399,porpoise,1
1400,rolling,1
1401,blowing,4
1402,male,8
1403,sighing,1
1404,blow,2
1405,female,4
1406,jokes,1
1407,brothers,5
1408,pity,2
1409,acted,1
1410,strangely,1
1411,wise,1
1412,jump,10
1413,ruin,1
1414,rush,3
1415,fight,13
1416,pulls,1
1417,plans,2
1418,desperate,2
1419,pair,1
1420,feed,6
1421,panic-stricken,1
1422,despairing,1
1423,exhausted,1
1424,stayed,6
1425,crossing,1
1426,afraid,5
1427,sharp,5
1428,scythe,2
1429,size,4
1430,gaffed,1
1431,clubbed,4
1432,rapier,2
1433,bill,6
1434,sandpaper,1
1435,top,5
1436,colour,4
1437,backing,2
1438,mirrors,2
1439,aboard,1
1440,clearing,1
1441,preparing,1
1442,jumped,9
1443,lavender,4
1444,pectoral,3
1445,stripes,8
1446,showing,4
1447,saddest,1
1448,begged,1
1449,pardon,1
1450,promptly,1
1451,settled,7
1452,rounded,1
1453,whatever,2
1454,chosen,1
1455,treachery,2
1456,choice,3
1457,beyond,3
1458,snares,1
1459,traps,2
1460,treacheries,1
1461,world,1
1462,joined,2
1463,surely,3
1464,gets,2
1465,daylight,4
1466,begin,2
1467,gunwale,4
1468,loosened,1
1469,sheath,3
1470,knife,20
1471,wood,18
1472,closest,1
1473,loose,5
1474,ends,2
1475,skillfully,1
1476,drew,7
1477,knots,1
1478,severed,1
1479,connected,1
1480,link,1
1481,catalan,1
1482,cordel,1
1483,hooks,1
1484,leaders,1
1485,replaced,2
1486,replaces,1
1487,cuts,2
1488,broadbill,1
1489,rid,1
1490,last,11
1491,surge,1
1492,eye,10
1493,cheek,2
1494,coagulated,1
1495,chin,2
1496,adjusted,1
1497,carefully,9
1498,anchored,2
1499,progress,1
1500,lurch,4
1501,slipped,4
1502,hill,1
1503,certainly,1
1504,badly,10
1505,cleared,2
1506,trouble,1
1507,dead,9
1508,suppose,2
1509,extended,1
1510,tiring,3
1511,risen,4
1512,realized,1
1513,favorable,1
1514,lesser,1
1515,depth,3
1516,necessarily,1
1517,mean,2
1518,handle,4
1519,increase,2
1520,fill,1
1521,backbone,3
1522,die,5
1523,harshness,1
1524,widens,1
1525,anyway,7
1526,added,4
1527,drag,6
1528,pleased,1
1529,respect,1
1530,warbler,1
1531,tired,13
1532,flew,1
1533,trip,1
1534,examine,1
1535,teetered,1
1536,gripped,3
1537,shouldn't,1
1538,windless,1
1539,hawks,2
1540,meet,1
1541,learn,5
1542,encouraged,1
1543,stiffened,1
1544,hoist,1
1545,friend,5
1546,overboard,3
1547,flown,1
1548,jerked,4
1549,noticed,3
1550,bleeding,2
1551,touching,2
1552,liked,5
1553,company,2
1554,rougher,1
1555,pay,5
1556,attention,3
1557,failure,1
1558,shifting,1
1559,kneeling,1
1560,washed,5
1561,submerged,1
1562,minute,2
1563,movement,3
1564,slowed,2
1565,burn,1
1566,reach,2
1567,comfort,1
1568,knelt,2
1569,keeping,1
1570,knee,1
1571,longitudinally,1
1572,wedge-shaped,2
1573,bone,10
1574,wiped,3
1575,carcass,3
1576,bonito,4
1577,entire,1
1578,cramped,7
1579,disgust,1
1580,cramp,6
1581,claw,1
1582,strengthen,1
1583,fault,2
1584,piece,5
1585,chewed,5
1586,unpleasant,1
1587,chew,2
1588,juices,1
1589,lime,1
1590,lemon,1
1591,rigor,1
1592,mortis,1
1593,spat,3
1594,full-blooded,1
1595,instead,5
1596,hardly,3
1597,sense,1
1598,practical,1
1599,rot,1
1600,patient,1
1601,brother,3
1602,conscientiously,1
1603,straightened,2
1604,wiping,1
1605,nonsense,2
1606,seems,1
1607,following,1
1608,plan,2
1609,improvise,1
1610,stays,1
1611,rubbed,3
1612,raw,4
1613,digested,1
1614,cost,1
1615,costs,1
1616,own,2
1617,accord,1
1618,abused,1
1619,unite,1
1620,various,1
1621,stretching,1
1622,undulation,1
1623,building,1
1624,ducks,1
1625,etching,2
1626,themselves,3
1627,blurring,1
1628,feared,1
1629,months,3
1630,hurricane,4
1631,hurricanes,1
1632,signs,1
1633,ashore,1
1634,cumulus,2
1635,built,4
1636,piles,1
1637,cream,1
1638,feathers,1
1639,cirrus,2
1640,brisa,2
1641,unknotting,1
1642,hate,1
1643,humiliating,1
1644,diarrhoea,1
1645,ptomaine,1
1646,poisoning,1
1647,vomit,2
1648,calambre,1
1649,humiliates,1
1650,oneself,1
1651,rub,1
1652,loosen,3
1653,forearm,1
1654,change,2
1655,slapped,1
1656,thigh,2
1657,upward,1
1658,bulged,1
1659,unendingly,1
1660,poured,2
1661,bright,3
1662,sword,4
1663,bat,2
1664,tapered,1
1665,re-entered,1
1666,smoothly,3
1667,diver,1
1668,scythe-blade,1
1669,race,1
1670,panicked,1
1671,convince,2
1672,intelligent,3
1673,noble,3
1674,able,3
1675,biggest,2
1676,bigger,2
1677,claws,2
1678,eagle,1
1679,uncramp,3
1680,unworthy,1
1681,usual,1
1682,pace,1
1683,intelligence,1
1684,comfortably,2
1685,suffering,5
1686,uncramped,2
1687,news,1
1688,shifted,3
1689,admit,1
1690,religious,1
1691,fathers,3
1692,hail,4
1693,marys,3
1694,promise,2
1695,pilgrimage,1
1696,virgen,1
1697,de,2
1698,prayers,3
1699,mechanically,2
1700,prayer,1
1701,automatically,1
1702,easier,1
1703,mary,2
1704,grace,1
1705,lord,1
1706,thee,1
1707,blessed,3
1708,art,1
1709,thou,1
1710,fruit,1
1711,thy,1
1712,womb,1
1713,holy,1
1714,pray,2
1715,sinners,1
1716,death,4
1717,amen,1
1718,re-bait,1
1719,wo,1
1720,board,2
1721,attract,1
1722,save,2
1723,greatness,1
1724,glory,1
1725,unjust,1
1726,endures,1
1727,proved,1
1728,proving,1
1729,past,2
1730,main,1
1731,afternoon,4
1732,easterly,1
1733,rode,1
1734,easily,4
1735,swim,4
1736,slightly,1
1737,erect,1
1738,slicing,1
1739,sees,2
1740,horse,1
1741,absolute,1
1742,cat,2
1743,shift,2
1744,shrugged,1
1745,muscles,1
1746,gran,1
1747,ligas,1
1748,york,1
1749,tigres,1
1750,result,1
1751,juegos,1
1752,worthy,3
1753,perfectly,1
1754,pain,12
1755,spur,6
1756,heel,3
1757,un,1
1758,espuela,1
1759,hueso,1
1760,fighting,2
1761,cock,1
1762,continue,1
1763,cocks,1
1764,beasts,1
1765,beast,1
1766,unless,2
1767,believe,7
1768,tavern,1
1769,casablanca,1
1770,game,1
1771,negro,10
1772,cienfuegos,2
1773,strongest,1
1774,docks,2
1775,elbows,1
1776,chalk,1
1777,forearms,2
1778,betting,1
1779,kerosene,1
1780,lights,7
1781,referees,2
1782,eight,3
1783,fingernails,1
1784,bettors,3
1785,chairs,1
1786,painted,1
1787,lamps,2
1788,threw,2
1789,shadows,1
1790,shadow,4
1791,odds,1
1792,forth,1
1793,rum,2
1794,lighted,1
1795,cigarettes,1
1796,tremendous,1
1797,campeon,1
1798,inches,1
1799,balance,1
1800,athlete,1
1801,beaten,4
1802,draw,2
1803,referee,1
1804,shaking,3
1805,match,3
1806,sunday,1
1807,ended,1
1808,monday,1
1809,loading,1
1810,sugar,2
1811,coal,1
1812,otherwise,1
1813,everyone,3
1814,finish,1
1815,finished,1
1816,champion,1
1817,return,2
1818,spring,3
1819,bet,1
1820,won,1
1821,broken,4
1822,few,2
1823,matches,2
1824,decided,3
1825,practice,1
1826,traitor,1
1827,trust,1
1828,bake,1
1829,airplane,3
1830,passed,8
1831,miami,1
1832,scaring,1
1833,possible,2
1834,gain,1
1835,hardness,1
1836,water-drop,1
1837,preceded,1
1838,looks,2
1839,height,2
1840,cross-trees,1
1841,mast-head,1
1842,greener,1
1843,spots,5
1844,anger,1
1845,greater,2
1846,island,2
1847,heaved,1
1848,bending,1
1849,flapping,1
1850,acrobatics,1
1851,crouching,1
1852,stepping,1
1853,plunging,1
1854,desperation,1
1855,burnished,1
1856,jaws,17
1857,convulsively,1
1858,bites,1
1859,pounded,1
1860,bottom,1
1861,shining,1
1862,shivered,2
1863,unhooked,1
1864,rebaited,1
1865,tossed,1
1866,noted,2
1867,perceptibly,1
1868,slower,1
1869,lash,6
1870,gut,2
1871,quiet,3
1872,disturb,2
1873,sunset,3
1874,setting,1
1875,grasped,1
1876,eased,1
1877,allowed,1
1878,learning,1
1879,needs,1
1880,food,4
1881,dorado,1
1882,dullness,1
1883,mistrusted,1
1884,question,3
1885,sustenance,1
1886,becomes,1
1887,worn,2
1888,name,1
1889,rigel,1
1890,distant,1
1891,glad,1
1892,imagine,2
1893,runs,1
1894,determination,1
1895,relaxed,1
1896,sorrow,1
1897,manner,1
1898,behaviour,1
1899,dignity,2
1900,perils,1
1901,merits,1
1902,loses,1
1903,lightness,2
1904,prolongs,1
1905,safety,2
1906,employed,1
1907,passes,1
1908,spoil,1
1909,decision,1
1910,meantime,1
1911,acts,1
1912,changes,1
1913,trick,1
1914,punishment,3
1915,hunger,3
1916,comprehend,1
1917,duty,1
1918,believed,1
1919,judging,1
1920,resting,4
1921,comparatively,1
1922,bearing,1
1923,placed,2
1924,confided,1
1925,resistance,1
1926,cushion,1
1927,devise,2
1928,become,2
1929,unclear,2
1930,sleeps,1
1931,certain,1
1932,prepare,3
1933,dangerous,2
1934,rig,2
1935,sleeping,4
1936,blade,9
1937,slit,2
1938,vent,1
1939,tip,1
1940,lower,4
1941,jaw,2
1942,gutted,2
1943,scooping,1
1944,gills,4
1945,maw,1
1946,slippery,1
1947,guts,1
1948,sank,2
1949,leaving,1
1950,leprous,1
1951,gray-white,1
1952,starlight,1
1953,descent,1
1954,fillets,3
1955,bent,1
1956,noting,1
1957,skinning,1
1958,flow,2
1959,particles,1
1960,phosphorus,1
1961,astern,3
1962,colder,1
1963,cooked,1
1964,miserable,1
1965,limes,1
1966,brains,1
1967,splashed,1
1968,drying,1
1969,lack,1
1970,preparation,1
1971,nauseated,1
1972,clouding,1
1973,canyon,1
1974,relaxes,1
1975,twenty,1
1976,minutes,1
1977,cramping,2
1978,vast,1
1979,porpoises,1
1980,stretched,1
1981,miles,1
1982,mating,1
1983,leap,1
1984,hole,1
1985,leaped,1
1986,norther,1
1987,bows,1
1988,off-shore,1
1989,tunnel,1
1990,fist,1
1991,burning,1
1992,braked,1
1993,rushed,1
1994,burned,1
1995,bursting,1
1996,fall,2
1997,racing,1
1998,raising,2
1999,slice,2
2000,splash,1
2001,fell,6
2002,known,1
2003,calloused,1
2004,parts,2
2005,slowing,1
2006,earn,1
2007,crushed,2
2008,ceding,1
2009,friction,1
2010,dozen,2
2011,filled,2
2012,start,1
2013,frightened,1
2014,seemed,2
2015,fearless,2
2016,circle,16
2017,stooped,1
2018,scooped,1
2019,nauseate,1
2020,cleaned,2
2021,begins,1
2022,judged,1
2023,fit,2
2024,worthless,1
2025,training,1
2026,properly,1
2027,chances,1
2028,clear-headed,1
2029,light-headed,1
2030,nausea,1
2031,emergency,1
2032,nourishment,2
2033,chewing,3
2034,bones,2
2035,slackening,1
2036,motion,1
2037,drops,1
2038,grudgingly,1
2039,shorten,1
2040,circles,2
2041,shorter,1
2042,slanted,2
2043,seeing,1
2044,salted,2
2045,dizzy,1
2046,worried,2
2047,fail,1
2048,myself,2
2049,beautifully,2
2050,consider,1
2051,jerking,2
2052,hard-feeling,1
2053,hitting,2
2054,spear,3
2055,bound,1
2056,widen,1
2057,opening,2
2058,wound,1
2059,several,1
2060,shook,2
2061,control,1
2062,drive,1
2063,mad,1
2064,stopped,3
2065,beating,1
2066,gaining,3
2067,kneeled,1
2068,stand,1
2069,temptation,1
2070,recovering,1
2071,pivoting,1
2072,weaving,2
2073,tireder,1
2074,turns,5
2075,considerably,1
2076,fair-weather,1
2077,steer,5
2078,south,1
2079,west,1
2080,pass,3
2081,thirty,2
2082,yards,1
2083,pale,2
2084,raked,1
2085,bulk,1
2086,banded,1
2087,dorsal,3
2088,fin,7
2089,pectorals,1
2090,sucking,1
2091,attached,1
2092,darted,1
2093,lashed,5
2094,bodies,1
2095,eels,1
2096,sweating,1
2097,else,2
2098,besides,4
2099,placid,1
2100,round,1
2101,closer,2
2102,starting,1
2103,accomplished,1
2104,killing,3
2105,calmer,1
2106,confused,1
2107,suffer,2
2108,voice,1
2109,promised,2
2110,mushy,1
2111,flashes,1
2112,agony,1
2113,barred,1
2114,interminable,1
2115,drove,9
2116,summoned,1
2117,chest,3
2118,altitude,1
2119,iron,1
2120,width,1
2121,power,1
2122,beauty,1
2123,hang,2
2124,crash,1
2125,spray,1
2126,sick,1
2127,angle,1
2128,discolouring,1
2129,shoal,1
2130,cloud,2
2131,silvery,1
2132,waves,1
2133,glimpse,1
2134,vision,1
2135,slave,2
2136,nooses,1
2137,swamped,1
2138,load,1
2139,bailed,1
2140,step,1
2141,fortune,1
2142,noose,2
2143,middle,2
2144,bind,1
2145,drink,5
2146,splice,1
2147,wallowing,1
2148,seas,1
2149,untied,1
2150,gill,1
2151,knotted,1
2152,double,2
2153,original,1
2154,violet,1
2155,wider,1
2156,detached,1
2157,periscope,1
2158,saint,1
2159,procession,1
2160,fifteen,1
2161,dresses,1
2162,two-thirds,1
2163,cents,1
2164,pound,1
2165,proud,1
2166,spurs,2
2167,knowing,2
2168,lashing,4
2169,cleanly,1
2170,boom,1
2171,lying,1
2172,sailed,9
2173,south-west,2
2174,compass,1
2175,drawing,1
2176,spoon,2
2177,moisture,1
2178,rotten,1
2179,patch,2
2180,shrimps,2
2181,fleas,1
2182,pinched,1
2183,heads,3
2184,shells,1
2185,tails,2
2186,nourishing,1
2187,tasted,1
2188,drinks,1
2189,sailing,3
2190,considering,1
2191,handicaps,1
2192,steered,3
2193,tiller,12
2194,strangeness,1
2195,cure,1
2196,bled,1
2197,heal,1
2198,healer,1
2199,bringing,2
2200,pleases,1
2201,trickery,1
2202,harm,1
2203,soaked,2
2204,constantly,1
2205,accident,1
2206,dispersed,1
2207,absolutely,1
2208,caution,1
2209,trace,1
2210,mako,2
2211,fastest,1
2212,hide,2
2213,smooth,1
2214,handsome,2
2215,knifing,1
2216,wavering,1
2217,lip,1
2218,rows,1
2219,teeth,3
2220,inwards,1
2221,ordinary,1
2222,pyramid-shaped,1
2223,crisped,1
2224,razor-sharp,1
2225,edges,1
2226,fishes,1
2227,armed,2
2228,speeded,1
2229,fresher,1
2230,prepared,1
2231,lacked,1
2232,dentuso,4
2233,clicking,3
2234,chop,3
2235,ripping,1
2236,rammed,1
2237,spot,2
2238,intersected,1
2239,nose,5
2240,thrusting,1
2241,all-swallowing,1
2242,location,1
2243,brain,6
2244,mushed,1
2245,complete,1
2246,malignancy,1
2247,wrapping,1
2248,loops,1
2249,accept,1
2250,plowed,1
2251,speed-boat,1
2252,three-quarters,1
2253,snapped,2
2254,bleeds,1
2255,anymore,3
2256,mutilated,2
2257,destroyed,2
2258,defeated,1
2259,handicap,1
2260,sting,1
2261,ray,1
2262,stung,1
2263,paralyzed,1
2264,leg,1
2265,unbearable,1
2266,lighter,2
2267,pattern,1
2268,inner,1
2269,butt,4
2270,unarmed,1
2271,returned,1
2272,silly,2
2273,sin,8
2274,problems,1
2275,understanding,2
2276,paid,2
2277,san,1
2278,pedro,1
2279,involved,1
2280,enjoyed,1
2281,scavenger,1
2282,appetite,1
2283,self-defense,1
2284,deceive,1
2285,quality,1
2286,juicy,1
2287,stringiness,1
2288,highest,1
2289,price,1
2290,sails,1
2291,hull,1
2292,smoke,1
2293,gulf-weed,1
2294,bit,1
2295,ay,2
2296,translation,1
2297,word,1
2298,involuntarily,1
2299,nail,1
2300,galanos,5
2301,identified,1
2302,shovel-nosed,1
2303,triangular,1
2304,sweeping,1
2305,excited,1
2306,stupidity,1
2307,losing,1
2308,excitement,1
2309,closing,2
2310,jammed,2
2311,oar,10
2312,rebelled,1
2313,firmly,1
2314,flinch,1
2315,shovel-pointed,1
2316,white-tipped,1
2317,hateful,1
2318,scavengers,1
2319,killers,1
2320,bite,1
2321,rudder,3
2322,flippers,1
2323,slime,1
2324,shake,1
2325,slitted,1
2326,bitten,1
2327,spinal,1
2328,juncture,1
2329,withdrew,2
2330,shark's,1
2331,cat-like,1
2332,swallowing,1
2333,died,1
2334,destruction,1
2335,swing,1
2336,broadside,1
2337,punched,2
2338,barely,1
2339,squarely,1
2340,center,1
2341,flat-topped,1
2342,stabbed,1
2343,vertebrae,1
2344,shot,1
2345,cartilage,1
2346,sever,1
2347,reversed,1
2348,twisted,1
2349,galano,2
2350,slide,1
2351,quarter,1
2352,i'm,1
2353,drained,1
2354,awash,1
2355,mirror,1
2356,neither,3
2357,stone,2
2358,counsel,1
2359,under-side,1
2360,bumps,1
2361,torn,1
2362,highway,1
2363,defend,1
2364,bleed,1
2365,wait,1
2366,single,1
2367,shovel-nose,1
2368,pig,2
2369,trough,1
2370,backwards,1
2371,sinking,1
2372,life-size,1
2373,fascinated,1
2374,soak,1
2375,quartering,1
2376,sawed,1
2377,effectively,1
2378,grip,1
2379,flexing,1
2380,nearest,1
2381,sink,1
2382,slamming,1
2383,broad,1
2384,rubbery,1
2385,solidity,1
2386,rigidity,1
2387,spilling,1
2388,bumped,1
2389,wrenched,1
2390,rubberiness,1
2391,base,1
2392,sluggishly,1
2393,expect,1
2394,worry,2
2395,town,1
2396,ruined,3
2397,chopped,2
2398,hatchet,1
2399,weapon,2
2400,fought,2
2401,palms,2
2402,violated,1
2403,awake,1
2404,forms,1
2405,recognize,1
2406,settle,1
2407,reflected,1
2408,city,1
2409,o'clock,1
2410,perceptible,1
2411,increasing,1
2412,sore,1
2413,wounds,1
2414,strained,1
2415,midnight,1
2416,useless,1
2417,pack,2
2418,seize,1
2419,tearing,1
2420,glowing,1
2421,heaviness,1
2422,tear,1
2423,lunged,1
2424,splintered,1
2425,breathe,1
2426,coppery,1
2427,remedy,1
2428,jagged,1
2429,slot,1
2430,feelings,1
2431,port,1
2432,intelligently,1
2433,crumbs,1
2434,harmed,1
2435,colonies,1
2436,enemies,1
2437,strongly,1
2438,shingle,1
2439,rock,2
2440,unstepped,1
2441,shouldered,1
2442,climb,2
2443,tiredness,1
2444,street,1
2445,standing,1
2446,naked,1
2447,mass,1
2448,nakedness,1
2449,business,1
2450,drifting-boats,1
2451,breathing,1
2452,cry,2
2453,crying,3
2454,measuring,2
2455,skeleton,1
2456,shouted,1
2457,eighteen,1
2458,afterwards,2
2459,proprietor,2
2460,damn,1
2461,bother,1
2462,thanks,1
2463,heat,1
2464,pedrico,3
2465,search,1
2466,guard,1
2467,planes,1
2468,speaking,1
2469,missed,1
2470,hell,1
2471,family,1
2472,lance,1
2473,leaf,1
2474,ford,1
2475,grind,1
2476,guanabacoa,1
2477,tempered,1
2478,ground,1
2479,lie,1
2480,papers,2
2481,teach,1
2482,drug-store,1
2483,forget,1
2484,party,1
2485,tourists,1
2486,barracudas,1
2487,spine,1
2488,tide,2
2489,blew,1
2490,entrance,1
2491,waiter,2
2492,pointed,1
2493,garbage,1
2494,tiburon,1
2495,eshark,1
2496,meaning,1
2497,explain,1
2498,formed,1
2499,companion,1
